Название проекта,Номер проекта ,1 неделя,2 неделя,3 неделя,4 неделя,5 неделя,6 неделя
Спорт ,1,4,2,,4,2,6
созвоны с бадди,3,1,,1,,2,1
еженедельное планирование,4,,2,"1,5",,"0,5",
Досуг с Аней,5,3,4,,1,"2,5",4
встречи с Друзьями,6,11,,,,,2
НЛП 2 часа (7),7,1,,"0,5",,,"1,5"
1 час медитации в день (8),8,5,"3,5",2,1,"1,5",3
Практики Максима/Кати/Рустами (9),9,2,"1,5",,,3,"5,5"
Упражнения для спины (10),10,,2,"0,5",1,,
"Получить вычеты (квартира, НЛП) (11)",11,,2,,,,
Универ (12),12,,1,,1,,"0,5"
Свадебные задачи (13),13,,4,1,"0,5",2,
Получение военного билета (14),14,"1,5",1,1,1,,"0,5"
Влажный воздух в квартире (16),16,,1,,,,"1,5"
Аналитика: выбор источника воды (17) ,17,,"2,5","0,5",,,
Купить робот пылесос (18),18,3,"7,5","0,5","0,5",,
Сменить спортивный зал (19) ,19,,1,,"0,5",1,
Массажер компрессионный научится (20),20,,1,,,,
"Общаться с мамой\крестной 1 час в неделю, помощь семье (21)",21,"2,5",1,11,1,6,"1,5"
Дневник фокусов внимания и приятностей в отношениях (22),22,2,,,,2,2
Разобрать с Аней 5 глав из книги 5 языков любви и внедрить новые привычки (23),23,"0,5",1,,,,
"Праздники (8 марта, 14 февраля) (24)",24,,,,2,,
Причинение пользы проекту на основной работе (25),25,1,,,,,
Курс TS от Климова (26),26,,,3,9,10,12
Начать использовать сервис recall для базы знаний (27),27,2,,,,,
[Вызов] Поиск работы за рубежом (28),28,,"1,5","0,5","1,5",2,
Английский для поиска работы (29),29,,,,,,2
Помощь Ане,101,,1,,,,"0,5"
Таблица джедая,102,,,"1,5",,,3
Зубы мудрости,105,,,5,,,
Дышится лего,104,,"0,5",2,,,
инвест план 2026,106,,,,,,"0,5"
фин трекинг,107,,,,,,1
