1 неделя ,,
Что буду делать по другому,Реализовалось ли ,Проект источник иизменения поведения
Запишусь к другому парикмахеру.  ,да,
Покупать воду заранее. ,"поставил осмос, теперь вообще не хожу за водой",Аналитика: выбор источника воды (17) 
Вести логирование времени и вечерние рефлексии. ,да,Практики Максима/Кати/Рустами (9)
Чек-лист дейли и утра на работе. ,да,
Не рассказывать лишнего маме. ,"не знаю как проверить, в целом да, ",
"Дарить подарки, цветы Ане. ","тут размытая формулировка нет четкого kpi для проверки. подарил ей светильник книжку, ",Дневник фокусов внимания и приятностей в отношениях (22)
"Делать сюрпризы, говорить комплименты. ","стараюсь, пока получается 50 на 59, но работаю над жтим",Дневник фокусов внимания и приятностей в отношениях (22)
Использовать recall для работы с информацией. ,"использовал, но в итоге переходу к obsidian. Но рекол тоже помог ",Начать использовать сервис recall для базы знаний (27)
"Отсекать лишнее, когда впадаю в спешку. ",да,
"Не просто делать, а думать: как я могу сделать, чтобы быстрее или вообще не делать? ",сейчас забываю это делать ,Практики Максима/Кати/Рустами (9)
2 неделя ,,
"Всполнять безделье по работе, карьерными задачами. ",да,
Делать проекты с меткой стрелочки вверх,да,
Опираться на внутреннюю силу. ,скорее нет чем да,
Не вестись на мелодрамы. ,"да, стараюсь это делать, но забываю иногда ю",1 час медитации в день (8)
"Если записан, ходить, даже если говорят, что не нужно. ",не было возможности проверить,
"Не что сделать, а в каком состоянии хочу быть. Так думать. ","точно нет, надо внедрять",
Иногда  психовать и просто без анализа  делать обзвон-заказ. ,не делал такого после осмоса пока,Аналитика: выбор источника воды (17) 
"Быть спокойным в ссоре, не негативить. ","нет, забывают в эмоциях. Если небольшой переполох опаздываем например, то да",
"Если не можешь исправить ситуацию, исправь свое отношение к ней на желаемое. ","забыл про это, не делаю",
,,
,,
,,
,,
,,
3 неделя ,,
"Добивать ответ, а не реакцию. Медитация","нет, забыл про это. надо пересмотреть урок медитации",1 час медитации в день (8)
4 неделя ,,
ложится Вовремя без телефона ,да,Практики Максима/Кати/Рустами (9)
Проверять свои задачи на работе внимательнее и дольше. ,"частично да, для литера постарался это сделать и не торопится ",
Делать чек-лист по результатам курса и применять его на работе. ,"сдела пока только для одного курса, больше курсов не проходил поэтому чек листов нет ",Курс TS от Климова (26)
выполнять обещания или согласовывать их перенос. ,"да, я споминаю об этом и выполняю обещания",
,,
5 неделя ,,
"Чтобы не думать о работе, выгружать мысли в письменном виде,","Только один раз это сделал, скорее нет чем да",созвоны с бадди
 не ходят на некоторые практики Джедайские,"Пока нет, того сходил на доп. практику и прдолбал время",Практики Максима/Кати/Рустами (9)
 применять восемь критериев чек листа  суждений,"Нет, до сих пор не распечатал ",Практики Максима/Кати/Рустами (9)
Оценивать степень внимания,"когда как, в целом нет или очень редко",1 час медитации в день (8)
"Ходить в баню, в сауну, в зал. ",да,Сменить спортивный зал (19) 
 тешить свое эго без Валентина. Через ревью,да,созвоны с бадди
"говорить, а хочу ли я, чтобы это становилось сильнее за счет моего внимания. ","да, но последнюю неделю подзабвл это",1 час медитации в день (8)
6 неделя ,,
Вести бухучет помесячный в Excel. ,"в целом да, но ещё месяц не проше, не могу проверить",фин трекинг
"Когда эмоции захлёстывают, то прислушиваться к ощущениям в теле. ",Нет,1 час медитации в день (8)
Просить  тест-план МР у нейронки,"Нет, ещё не делал этого",
Искать Вторую работу,Пока не приступал,
использовать курсор для работы с Markdown проектами в Obsidian,Да,Курс TS от Климова (26)
 использовать Obsidian Flash Cards. ,да,Курс TS от Климова (26)
Рассказывать План дня Ани ,Да,Практики Максима/Кати/Рустами (9)
"Принимать произошедшие события как факты через зрение, осязание, обоняние, слух и т.д. Без лишних интерпретаций. ","сегодян да, в целом пока ещё рано говрить применяю или нет, только сегодня записал то",1 час медитации в день (8)
Конспектировать в obsidian лекции по медетации,да,1 час медитации в день (8)
Делать большой отчет 2 раза в спринт,Проверим в след спринте,Практики Максима/Кати/Рустами (9)
